#{"t_start": 1683583631.405932, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-44605,169,1.894789
-61785,268,3.955054
-8500,17,4.097727
-60965,129,5.155155
-15975,37,5.433702
-10925,37,5.743424
-15970,38,6.039049
-8500,17,6.169886
-9405,38,6.516496
-14385,52,7.033973
-14375,54,7.55625
-36680,239,9.94452
-22000,44,10.298033
-19995,41,10.610375
-11060,111,11.496262
-13985,31,11.724297
-24275,94,12.460486
-19915,57,12.95719
-31885,87,13.679131
-34430,83,14.533274
-84740,323,17.208139
-22480,49,17.613896
-212995,792,25.07876
-16730,88,25.769395
-12445,36,26.05217
-19500,39,26.359221
-23460,55,26.795065
-18755,87,27.472728
-455,10,27.552116
-40555,171,28.884098
-380,25,29.102301
-14500,29,29.3268
-10225,76,29.914928
-10845,53,30.317753
-4585,44,30.682121
-8000,16,30.811662
-5375,36,31.093431
-14000,28,31.310438
-1465,10,31.388283
-4000,8,31.453174
-6000,12,31.549373
-7795,57,31.996911
-5500,11,32.079165
-21925,59,32.544938
-430,15,32.670783
-7955,25,32.866691
-9000,18,33.005977
-1000,2,33.023479
-405,20,33.184134
-9985,23,33.359121
-17185,98,34.132316
-22395,66,34.661772
-25340,83,35.311091
-8420,33,35.562272
-13840,60,36.052876
-7985,19,36.2019
-18765,85,36.887285
-9835,53,37.303344
-12150,95,38.047514
-17830,70,38.599202
-6785,57,39.126619
-9500,19,39.27708
-28345,88,39.961045
-20495,143,41.094117
-51305,142,42.316465
-11890,46,42.68996
-30805,101,43.463372
-23960,56,44.007287
-17000,34,44.544411
-14490,31,44.910607
-6990,16,45.106932
-11500,23,45.361015
-22860,74,46.141284
-20255,90,47.112863
-8950,28,47.416288
-10780,66,47.975491
-9435,32,48.262502
-72860,275,50.791938
-5105,90,51.638236
-45600,177,53.127116
-28775,103,53.982878
-49475,205,56.017563
-32850,197,57.694734
-9270,65,58.243488
-16905,102,59.196064
-1785,47,59.858682
-57800,156,61.404084
-17045,126,62.542704
-365,28,62.757885
-134710,631,68.502487
-19865,168,69.808277
-34795,111,70.758323
-13460,35,71.04131
-39980,84,71.722035
-16855,63,72.271842
-6295,54,72.808245
-12925,41,73.213946
-1500,3,73.256536
-13730,82,74.048645
-24310,87,74.844071
