#{"t_start": 1683575783.092163, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-5250,187,3.793047
-163,38,4.390361
-189,12,4.590537
-170,31,5.085026
-155,46,5.79171
-171,30,6.257622
-3261,192,9.174927
-141,60,10.111136
-144,57,10.991763
-188,13,11.213586
195,96,13.581224
-53,148,15.746378
-176,25,16.124563
-157,44,16.777145
120,21,17.099918
-55,146,19.237571
544,445,25.777612
-1970,39,26.363971
-75,126,28.230869
-1033,66,29.214509
-53,148,31.393138
-111,278,35.48907
-161,40,36.083606
-2555,50,36.836757
-164,37,37.402391
-121,80,38.60177
-2183,96,40.022884
-159,42,40.650258
114,315,45.303283
-4331,160,47.685494
-150,51,48.455077
122,23,48.807672
-118,83,50.053736
-182,19,50.345729
-4200,115,52.050781
-149,52,52.822894
-195,6,52.924843
180,81,54.134927
-488,103,55.675839
-170,31,56.148752
-130,71,57.217802
81,282,61.382646
-4417,174,63.93319
-166,35,64.464334
-14,187,67.239255
-165,36,67.780061
-65,136,69.790414
-80,121,71.579327
-1730,91,72.934264
41,242,76.504876
257,158,78.841774
143,44,79.500313
-171,30,79.958379
-80,121,81.758381
-2684,99,83.27612
-149,52,84.04589
-4785,510,91.571392
-159,42,92.20508
-110,91,93.558688
-180,21,93.882748
-151,50,94.632912
-63,138,96.764151
-161,40,97.366258
-87,114,99.069788
-46,155,102.314661
-186,15,102.542889
-326,121,104.334815
-153,48,105.051101
-186,15,105.287169
91,292,109.615997
-88,113,111.300302
-196,5,111.385874
-136,65,112.357318
-726,253,116.105708
-4804,179,118.754172
278,179,121.382647
-4486,135,123.378358
-129,72,124.451795
10,211,127.559957
-511,230,130.950641
-124,77,132.094112
-2,199,135.020042
-19,182,137.715101
-226,15,137.948426
363,264,141.860861
-4026,195,144.744242
-156,45,145.423722
-131,70,146.478476
-113,88,147.787328
-162,39,148.377606
42,243,151.979336
-143,58,152.846969
-96,105,154.408259
11,212,157.561617
-151,50,158.313548
-247,126,160.199362
-200,1,160.229003
-59,142,162.353398
-436,219,165.60604
-10074,555,173.961417
-458,117,175.711082
-7408,251,179.460415
-163,38,180.038236
-153,48,180.761781
-3829,76,181.901901
13,214,185.09115
36,237,188.618735
-121,80,189.825536
-58,143,191.963073
-3203,72,193.047851
31,232,196.504049
-6472,153,198.781901
-197,4,198.85607
-1113,166,201.337301
-138,63,202.284305
-110,91,203.651506
-4578,997,218.435172
12,213,222.457305
4,205,225.529732
-8,193,228.403528
17,218,231.653025
-244,39,232.246783
-3042,397,238.138929
96,297,242.564158
-27,174,245.16845
-3974,101,246.677285
167,368,252.195441
618,519,259.836317
-569,160,262.210531
-3643,82,263.442716
-4960,165,265.890656
-99,152,268.175628
-3646,133,270.166913
-200,1,270.195868
-4598,131,272.152714
-4674,445,278.785295
-149,52,279.572588
-4791,554,289.708022
-692,117,292.488192
-123,78,293.64476
-3448,433,300.050613
188,89,301.368352
682,611,310.302489
-138,63,311.234782
-639,498,318.520758
-118,87,319.805749
-800,471,326.726251
-211,152,329.989619
-626,261,333.939501
255,456,340.689734
-34,167,343.181149
-6139,464,351.022482
-98,103,352.542198
-82,119,354.294196
-3827,156,356.599893
-84,117,358.339469
-5385,344,363.397383
-20,181,366.084239
-107,94,367.482885
236,137,369.527956
-1583,82,370.752073
-1582,397,376.618991
